id;nombre;apellido;edad;dni;enfermedades
1;destock;stopper;2024-05-08;substantial gastronomy in;posh times
2;grotesque finally;gnash snuffling archer;2024-05-09;unless yowza anxiously;till formal
3;raw;incubation customer mastoid;2024-05-09;without;favorite
4;hmph stunning utterly;pish below lava;2024-05-09;below or;cram metal ashamed
5;misplacement silent furthermore;in-laws far-flung;2024-05-09;as dragonfruit;jovial realistic
6;eclipse furthermore until;gab;2024-05-09;indeed phew trigger;raise better
7;alongside psst supposing;aw trip;2024-05-09;shyly hit;pupate pin
8;hence a;play whereas;2024-05-09;pagoda huzzah;roughly searchingly
9;whereas;irritably frenetically;2024-05-09;careful;like
10;smoothly ah;ew;2024-05-09;lime;a fooey phooey
