id;dni;puesto;turno;antiguedad;estado
1;below beyond;POLICIA;MANANA;2024-05-09;NOACTIVO
2;aromatic calmly;INSPECTOR;NOCHE;2024-05-09;NOACTIVO
3;given whether;COMISARIO;TARDE;2024-05-09;ACTIVO
4;gadzooks shanghai longingly;COMISARIO;MANANA;2024-05-09;ACTIVO
5;quizzically courageously cleverly;COMISARIO;MANANA;2024-05-09;NOACTIVO
6;notwithstanding owlishly;INSPECTOR;MANANA;2024-05-09;NOACTIVO
7;after;COMISARIO;NOCHE;2024-05-09;ACTIVO
8;as;COMISARIO;MANANA;2024-05-09;ACTIVO
9;bashfully duh among;INSPECTOR;NOCHE;2024-05-09;NOACTIVO
10;versus;POLICIA;MANANA;2024-05-09;NOACTIVO
